College Name,Overview Page,Placement Page,Course Page 1,Course Page 2,Course Page 3
IIM Ahmedabad,Created + Audited,Created + Audited,Created + Audited,Created + Audited,Created + Audited
IIM Bangalore,Created + Audited,Created + Audited,Created + Audited,Created + Audited,Created + Audited
IIM Kozhikode,Created + Audited,Created + Audited,Created + Audited,Created + Audited,Created + Audited
IIT Delhi,Created + Audited,Created + Audited,Created + Audited,Created + Audited,Created + Audited
IIM Lucknow,Created + Audited,Created + Audited,Created + Audited,Created + Audited,Created + Audited
IIM Mumbai,Created + Audited,Created + Audited,Created + Audited,Created + Audited,Created + Audited
IIM Calcutta,Created + Audited,Created + Audited,Created + Audited,Created + Audited,Created + Audited
IIM Indore,Created + Audited,Created + Audited,Created + Audited,Created + Audited,Created + Audited
MDI Gurgaon,Created + Audited,Created + Audited,Created + Audited,Created + Audited,Created + Audited
XLRI,Created + Audited,Created + Audited,Created + Audited,Created + Audited,Created + Audited
SIBM Pune,Created + Audited,Created + Audited,Created + Audited,Created + Audited,Created + Audited
IIT Kharagpur,Created + Audited,Created + Audited,Created + Audited,Created + Audited,Created + Audited
IIT Madras,Created + Audited,Created + Audited,Created + Audited,Created + Audited,Created + Audited
IIT Bombay,Created + Audited,Created + Audited,Created + Audited,Created + Audited,Created + Audited
IIM Raipur,Created + Audited,Created + Audited,Created + Audited,Created + Audited,Created + Audited
IIM Tiruchirappalli,Created + Audited,Created + Audited,Created + Audited,Created + Audited,Created + Audited
IIFT,Created + Audited,Created + Audited,Created + Audited,Created + Audited,Created + Audited
IIM Ranchi,Created + Audited,Created + Audited,Created + Audited,Created + Audited,Created + Audited
IIM Rohtak,Created + Audited,Created + Audited,Created + Audited,Created + Audited,Created + Audited
SPJIMR,Created + Audited,Created + Audited,Created + Audited,Created + Audited,Created + Audited
IIM Udaipur,Created + Audited,Created + Audited,Created + Audited,Created + Audited,Created + Audited
IIT Roorkee,Created + Audited,Created + Audited,Created + Audited,Created + Audited,Not Applicable
IIM Kashipur,Created + Audited,Created + Audited,Created + Audited,Created + Audited,Created + Audited
NMIMS,Created + Audited,Created + Audited,Created + Audited,Created + Audited,Created + Audited
IIM Nagpur,Needs Review,Needs Review,Needs Review,Needs Review,Needs Review
Amrita Vishwa Vidyapeetham,Needs Review,Needs Review,Needs Review,Needs Review,Not Applicable
IIT Kanpur,Created + Audited,Created + Audited,Not Applicable,Not Applicable,Not Applicable
JMI,Pending,Pending,Pending,Pending,Pending
IIM Visakhapatnam,Pending,Pending,Pending,Pending,Pending
IMT Ghaziabad,Pending,Pending,Pending,Pending,Pending
IIM Bodh Gaya,Pending,Pending,Pending,Pending,Pending
CU,Pending,Pending,Pending,Pending,Pending
MICA,Pending,Pending,Pending,Pending,Pending
IIM Sambalpur,Pending,Pending,Pending,Pending,Pending
IIM Jammu,Pending,Pending,Pending,Pending,Pending
UPES,Pending,Pending,Pending,Pending,Pending
Great Lakes Chennai,Pending,Pending,Pending,Pending,Pending
IIM Shillong,Pending,Pending,Pending,Pending,Pending
TAPMI Manipal,Pending,Pending,Pending,Pending,Pending
